caller_number,receiver_number,timestamp,duration_sec,call_type,cell_tower_id,latitude,longitude
+919820199482,+919821048192,2026-09-02 08:15:30,240,VOICE,TOWER-MUM-01,18.9438,72.8541
+919821048192,+919820199482,2026-09-02 09:40:12,180,VOICE,TOWER-BKC-04,19.0657,72.8685
+919820199482,+919988776655,2026-09-02 11:22:05,95,VOICE,TOWER-NAV-12,19.0330,73.0297
+919821048192,+447911123456,2026-09-02 13:05:00,420,VOICE,TOWER-MUM-01,18.9438,72.8541
+919988776655,+919820199482,2026-09-02 14:10:45,310,VOICE,TOWER-BKC-04,19.0657,72.8685
+919820199482,+919821048192,2026-09-02 15:30:10,75,SMS,TOWER-MUM-01,18.9438,72.8541
+919821048192,+919988776655,2026-09-02 16:45:00,195,VOICE,TOWER-NAV-12,19.0330,73.0297
+447911123456,+919821048192,2026-09-02 17:50:22,540,VOICE,TOWER-BKC-04,19.0657,72.8685
+919820199482,+919821048192,2026-09-02 19:15:00,60,VOICE,TOWER-OBEROI-02,18.9270,72.8228
+919988776655,+919821048192,2026-09-02 21:00:15,130,VOICE,TOWER-NAV-12,19.0330,73.0297
